text,label
India defeated Australia by 5 wickets in Mumbai,REAL
Rohit Sharma scored a century in the match,REAL
The government announced a new education policy,REAL
Stock markets rose after economic growth report,REAL
Scientists discovered a new vaccine for a disease,REAL
Aliens joined IPL as players,FAKE
Virat Kohli scored 1000 runs in one over,FAKE
Time travel machine tested successfully in lab,FAKE
Humans can live without food for 1 year,FAKE
Sun will not rise tomorrow says scientists,FAKE